Row,id12262,id12271,id12272,id3858,id3866,id3902,id3903,id3908,id3920,id3943
id12262,1,1,1,1,1,1,1,1,1,1
id12271,1,1,1,1,1,1,1,1,1,1
id12272,1,1,1,1,1,1,1,1,1,1
id3858,1,1,1,1,1,1,1,1,1,1
id3866,1,1,1,1,1,1,1,1,1,1
id3902,1,1,1,1,1,1,1,1,1,1
id3903,1,1,1,1,1,1,1,1,1,1
id3908,1,1,1,1,1,1,1,1,1,1
id3920,1,1,1,1,1,1,1,1,1,1
id3943,1,1,1,1,1,1,1,1,1,1
