Row,id10995,id10998,id10999,id11003,id11549,id12655,id13161,id13312,id13528,id13948,id14654,id14657,id14661,id612,id636,id854,id864
id10995,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id10998,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id10999,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id11003,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id11549,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id12655,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id13161,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id13312,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id13528,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id13948,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id14653,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id14654,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id14657,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id14661,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id16042,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id16974,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id16975,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id16976,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id16984,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id16989,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id16990,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id524,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id592,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id612,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id636,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id854,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id864,1,1,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
