sponsor_id,name
6199,"Sal Esquivel"
6201,"Jeff Barker"
6202,"Brian Clem"
6203,"Christopher Garrett"
6204,"Sara Gelser"
6205,"John Huffman"
6207,"Betty Komp"
6208,"Arnie Roblan"
6209,"Michael Schaufler"
6210,"Jefferson Smith"
6212,"Gene Whisnant"
6213,"Robert Jenson"
6214,"Jim Weidner"
6215,"Cliff Bentz"
6216,"Bruce Hanna"
6217,"Wayne Krieger"
6220,"Sherrie Sprenger"
6221,"Lona Thatcher"
6222,"Jim Thompson"
6223,"Matthew Wingard"
6224,"Jules Kopel-Bailey"
6225,"Margaret Doherty"
6227,"Elizabeth Beyer"
6228,"Michael Dembrow"
6229,"Lew Frederick"
6230,"Val Hoyle"
6231,"Tina Kotek"
6232,"Carolyn Tomei"
6234,"Bill Kennemer"
6236,"Deborah Boone"
6237,"Kevin Cameron"
6238,"Tim Freeman"
6239,"Bill Garrard"
6240,"Vic Gilliam"
6241,"Gregory Smith"
6242,"Andy Olson"
6243,"Franklin Morse"
6244,"Peter Buckley"
6245,"Alan Bates"
6247,"Philip Barnhart"
6248,"Jean Cowan"
6249,"Mitch Greenlick"
6250,"Chris Harker"
6251,"Paul Holvey"
6252,"Mary Nolan"
6253,"Bradley Witt"
6254,"Jackie Dingfelder"
6255,"Diane Rosenbaum"
6256,Edwards
6258,"William Shields"
6259,"Dave Hunt"
6260,"Tobias Read"
6263,"Greg Matthews"
6264,"Richard Devlin"
6265,"Rod Monroe"
6267,"Nancy Nathanson"
6268,"Mark Hass"
6269,Johnson
6271,"Peter Courtney"
6272,"Laurie Monnes Anderson"
6273,"Jackie Winters"
6274,"Ted Ferrioli"
6275,"Fred Girod"
6276,"David Nelson"
6277,"Joanne Verger"
6278,"Jason Atkinson"
6279,"Brian Boquist"
6280,"Ginny Burdick"
6281,"Lawrence George"
6282,"Jeff Kruse"
6283,"Floyd Prozanski"
6284,"Bruce Starr"
6285,"Chris Telfer"
6286,"Douglas Whitsett"
10751,"Vicki Berger"
10752,"Mike McLane"
10753,"Leslee Beyer"
10755,"Shawn Lindsay"
10756,"Katerina Brewer"
10757,"Matthew Wand"
12022,Johnson
12023,"Julie Parrish"
12024,"Chuck Thomsen"
12026,"Matthew Hicks"
12027,"Patrick Sheehan"
12062,"Jason Conger"
12166,"Alan Olsen"
12252,"Committee On Ways And Means"
12425,"Committee On Rules"
12463,"Committee On Rules"
13858,"Elizabeth Steiner Hayward"
13859,"Alissa Keny-Guyer"
