Row,id5529,id12223,id5553,id5532,id5516,id5492,id5508,id5528,id5568,id5500,id5569,id5493,id14765,id14766,id5570,id5546,id11394,id10569,id5539,id5571,id5515,id10578,id10575,id5559,id5561,id14439,id10577,id5509,id5502,id5524,id10818,id10574,id5513,id5510,id5527,id14437,id5536,id10584,id10579,id5541,id5483,id10572,id5514,id10571,id10568,id11298,id5547,id5557,id10816,id10576,id5497,id11396,id5567,id5565
id5559,0,1,0.5,0.5,0.5,0,0.5,0,1,1,0.5,1,NaN,NaN,0.5,1,1,1,1,0.5,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id5561,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id14439,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,1,1,1,1,NaN
id10577,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id5509,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id5502,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id5524,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id10818,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id10574,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id5513,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id5510,0,0.5,0.5,0,0.5,0,0.5,0,1,0.5,0,1,1,1,0.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id5527,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id14437,0,0,0,0,0,0,0,NaN,NaN,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,1,1,1
id5536,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id10584,0,0,0.5,1,0,0,0,1,0.5,0,0.5,1,NaN,1,0.5,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,1,1,1,1,1,1,1,1,1
id10579,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id5541,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id5483,0,0,0.5,1,0.5,0,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN
id10572,0,0.5,1,0.5,1,0,1,0.5,1,1,0.5,1,1,1,0.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id5514,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id10571,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id10568,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id11298,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id5547,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id5557,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id10816,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id10576,0,0.5,0.5,0,0.5,0,0.5,0,1,0.5,0,1,1,1,0.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id5497,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id11396,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id5567,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
id5565,0,1,1,0,1,0,1,0,1,1,0,1,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1
