Row,id5492,id5563,id5533,id5556,id5566,id14442,id14189,id5570,id5546,id11394,id10569,id5539,id5544,id5559,id5561,id5564,id14439,id5509,id5524,id10818,id10574,id5512,id5513,id5510,id5527,id5536,id10584,id10579,id5483,id10570,id5514,id11398,id10568,id5547,id14444,id10816,id10576,id5497,id11396,id5567,id5565
id5559,0.25,0.25,0,0,0,0.5,0.5,0.75,0.75,0.75,0.75,1,1,1,0.75,0.75,1,1,1,1,0.666666666666667,0.75,0.75,0.75,1,1,0.75,0.75,0.75,0.75,1,0.5,0.5,0.75,0.5,0.75,0.75,1,1,1,1
id5561,0,0,0,0,0,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,0,1,NaN,1,1,1,1,1,1
id5564,0,0,0,0,0,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,0,1,NaN,1,1,1,1,1,1
id14439,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,NaN,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,NaN,1,1,1
id5509,0.5,0,0,0,0,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,0.5,1,NaN,1,1,1,1,1,1
id5524,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1
id10818,0,0,0,0,0,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,0,1,NaN,1,1,1,1,1,1
id10574,0,0,0,0,0,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,0,1,NaN,1,1,1,1,1,1
id5512,0,0,0,0,0,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,0,1,NaN,1,1,1,1,1,1
id5513,0,0,0,0,0,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,0,1,NaN,1,1,1,1,1,1
id5510,0,0,0,0,0,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,0,1,NaN,1,1,1,1,1,1
id5527,NaN,1,0,NaN,0,NaN,NaN,1,1,1,1,1,NaN,1,1,1,NaN,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,NaN,1,1,1
id5536,0,0,0,0,0,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,0,1,NaN,1,1,1,1,1,1
id10584,0.5,1,0.5,1,0.5,0.5,1,1,1,0.5,NaN,1,0.5,1,1,1,1,1,1,1,1,0,1,1,0.5,1,1,1,0.5,0.5,1,0.5,1,1,1,1,1,NaN,1,1,1
id10579,0.5,0,0,0,0,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,0.5,1,NaN,1,1,1,1,1,1
id5483,0.5,0.5,0.5,0.5,0.5,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,1,1,1,1
id10570,0,0,0,0,0,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,0,1,NaN,1,1,1,1,1,1
id5514,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,NaN,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,NaN,1,1,1
id11398,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,NaN,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,NaN,1,1,1
id10568,1,0,0,0,0,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,1,1,1,1
id5547,NaN,1,0,NaN,0,NaN,NaN,1,1,1,1,1,NaN,1,1,1,NaN,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,NaN,1,1,1
id14444,0,NaN,0,NaN,0,0,1,1,1,1,NaN,1,1,NaN,NaN,NaN,1,1,1,1,1,NaN,1,1,1,1,NaN,NaN,1,1,1,1,1,NaN,1,NaN,1,NaN,NaN,1,NaN
id10816,0,0,0,0,0,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,0,1,NaN,1,1,1,1,1,1
id10576,0,0,0,0,0,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,0,1,NaN,1,1,1,1,1,1
id5497,0,0,0,0,0,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,0,1,NaN,1,1,1,1,1,1
id11396,0,0,0,0,0,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,0,1,NaN,1,1,1,1,1,1
id5567,0,0,0,0,0,0,1,1,NaN,1,1,1,1,1,1,0,1,1,1,0,NaN,0,1,0,NaN,1,1,0,1,0,1,0,0,0,1,0,1,NaN,1,1,1
id5565,0,NaN,0,0,0,0,1,1,1,0,NaN,1,1,NaN,NaN,NaN,1,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,1,1,NaN,1,NaN,1,1,1,1,1
