sponsor_id,name
2947,"Peter Biondi"
2948,"John DiMaio"
2949,"Alison McHose"
3061,"Alex DeCroce"
3062,"Upendra Chivukula"
3063,"Jack Conners"
3064,"Gary Schaer"
3066,"Amy Handlin"
3067,"Pamela Lampitt"
3068,"Vincent Prieto"
3069,"Patrick Diegnan"
3070,"Angel Fuentes"
3071,"Reed Gusciora"
3072,"John McKeon"
3073,"John Wisniewski"
3074,"Jon Bramnick"
3075,"Nancy Munoz"
3076,"Linda Stender"
3077,"James Holzapfel"
3078,"David Wolfe"
3079,"Linda Greenstein"
3080,"Joseph Malone"
3081,"Ronald Dancer"
3082,"Concetta Wagner"
3083,"Thomas Giblin"
3084,"Denise Coyle"
3085,"Bonnie Coleman"
3086,"Jay Webber"
3087,"Dawn Addiego"
3088,"Scott Rudder"
3089,"Gary Chiusano"
3090,"Brian Rumpf"
3091,"Anthony M. Bucco"
3092,"Scott Rumana"
3093,"Declan O'Scanlon"
3094,"Charlotte Vandervalk"
3095,"David Rible"
3096,"David Russo"
3097,"Samuel Thompson"
3098,"John Amodeo"
3099,"Mary Angelini"
3100,"Caroline Casagrande"
3101,"Joan Voss"
3102,"Nelson Albano"
3103,"Matthew Milam"
3104,"Vincent Polistina"
3105,"Erik Peterson"
3106,"Valerie Huttle"
3107,"Michael Carroll"
3108,"Gordon Johnson"
3109,"DiAnne Gove"
3110,"Domenick DiCicco"
3111,"Anthony Chiappone"
3112,"Sheila Oliver"
3113,"Celeste Riley"
3114,"Ralph Caputo"
3115,"Alberto Coutinho"
3116,"Wayne DeAngelo"
3117,"Cleopatra Tucker"
3118,"Caridad Rodriguez"
3119,"Frederick Scalera"
3120,"Elease Evans"
3121,"Ruben Ramos"
3122,"Joan Quigley"
3123,"Joseph Egan"
3124,"Paul Moriarty"
3125,"John Burzichelli"
3126,"Nellie Pou"
3127,"Herbert Conaway"
3128,"Annette Quijano"
3129,"Joseph Cryan"
3130,"Louis Greenwald"
3131,"Charles Mainor"
3132,"Mila Jasey"
3133,"Grace Spencer"
3134,"Gerald Green"
3135,"Peter Barnes"
3136,"Craig Coughlin"
3137,"Robert Schroeder"
3138,"Robert Smith"
3139,"Christopher Bateman"
3140,"Robert Gordon"
3141,"Jennifer Beck"
3142,"James Beach"
3143,"Gilbert Wilson"
3144,"Donald Norcross"
3145,"James Whelan"
3146,"Philip Haines"
3147,"Raymond Lesniak"
3148,"Stephen Sweeney"
3149,"Fred Madden"
3150,"Joseph Pennacchio"
3153,"Jeff Van Drew"
3154,"Nicholas Scutari"
3155,"Kevin O'Toole"
3158,"Joseph Vitale"
3159,"Steven Oroho"
3160,"Joseph Kyrillos"
3161,"Richard Codey"
3164,"Thomas Kean"
3165,"Anthony R. Bucco"
3166,"Gerald Cardinale"
3169,"Brian Stack"
3170,"Michael Doherty"
3173,"Barbara Buono"
3174,"Teresa Ruiz"
3175,"Nia Gill"
3177,"Andrew Ciesla"
3180,"Sandra Cunningham"
3181,"Loretta Weinberg"
3182,"Paul Sarlo"
3200,"John Girgenti"
3201,"Ronald Rice"
3206,"Robert Singer"
3207,"Christopher Connors"
3208,"Sean Kean"
3209,"Shirley Turner"
3210,"Diane Allen"
3212,"Nicholas Sacco"
3213,"Thomas Goodwin"
9604,"Bill Baroni"
9618,"Jason O'Donnell"
10300,"Patrick Delany"
10643,"Kevin Ryan"
10644,"Daniel Benson"
13506,"Troy Singleton"
13521,"Gerry Nardello"
13522,"Jack Ciattarelli"
