sponsor_id,name
5100,"Gordon Fox"
5102,"John Edwards"
5107,"Gregory Costantino"
5110,"Joseph Almeida"
5111,"Joseph Trillo"
5112,"Donna Walsh"
5113,"Eileen Naughton"
5116,"Arthur Corvese"
5117,"Raymond Gallison"
5121,"Jan Malik"
5123,"Agostinho Silva"
5125,"Patricia Serpa"
5126,"Helio Melo"
5127,"Michael Marcello"
5129,"Donald Lally"
5130,"Elaine Coderre"
5131,"Joseph McNamara"
5134,"Deborah Fellela"
5136,"Mary Messier"
5137,"Charlene Lima"
5138,"Joy Hearn"
5139,"Deborah Ruggiero"
5140,"Peter Martin"
5143,"Samuel Azzinaro"
5144,"Nicholas Mattiello"
5145,"Edith Ajello"
5146,"Frank Ferri"
5148,"Arthur Handy"
5150,"Scott Guthrie"
5151,"Peter Palumbo"
5153,"Thomas Winfield"
5155,"Stephen Ucci"
5157,"William San Bento"
5159,"Brian Newberry"
5160,"Brian Kennedy"
5162,"Karen Macbeth"
5165,"Robert Jacquard"
5166,"Anastasia Williams"
5167,"Grace Diaz"
5168,"Scott Slater"
5169,"John Carnevale"
5171,"Lisa Baldelli-Hunt"
5174,"Patrick O'Neil"
5176,"John Desimone"
5178,"Walter Felag"
5179,"David Bates"
5180,"Joshua Miller"
5181,"Paul Jabour"
5183,"Juan Pichardo"
5184,"Maryellen Goodwin"
5187,"Teresa Paiva-Weed"
5189,"Leonidas Raptakis"
5191,"Edward O'Neil"
5192,"Roger Picard"
5194,"Marc Cote"
5195,"William Walaska"
5196,"Louis Dipalma"
5198,"James Doyle"
5199,"James Sheehan"
5200,"Susan Sosnowski"
5202,"Paul Fogarty"
5203,"Daniel DaPonte"
5204,"Michael McCaffrey"
5205,"Erin Lynch"
5207,"Elizabeth Crowley"
5208,"Hanna Gallo"
5209,"Dominick Ruggerio"
5210,"Frank Ciccone"
5212,"Harold Metts"
5213,"Dennis Algiere"
10758,"Doreen Costa"
10760,"Raymond Johnston"
10761,"Larry Valencia"
10762,"Teresa Tanzi"
10763,"Jeremiah O'Grady"
10764,"Patricia Morgan"
10765,"Michael Chippendale"
10766,"Frank Lombardo"
10767,"Christopher Ottiano"
10768,"Donna Nesselbush"
11286,"Maria Cimini"
11287,"Robert Phillips"
11288,"Raymond Hull"
11289,"Cale Keable"
11485,"Lisa Tomasso"
11733,"Spencer Dickinson"
11735,"James McLaughlin"
11736,"Christopher Blazejewski"
11737,"David Bennett"
11881,"Jared Nunes"
11903,"Nicholas Kettle"
11904,"Dawson Hodgson"
14194,"William O'Brien"
14407,"Dennis Canario"
14408,"Linda Finn"
14409,"Kenneth Marshall"
14493,"John Lombardi"
14541,"Katherine Kazarian"
14557,"Thomas Palangio"
14590,"Marvin Abney"
14591,"Antonio Giarrusso"
14592,"Joseph Shekarchi"
14593,"William Conley"
14752,"Gregg Amore"
14753,"Stephen Casey"
14754,"Robert Craven"
14755,"Stephen Archambault"
14979,"Catherine Rumsey"
14980,"Frank Lombardi"
14981,"Ryan Pearson"
14983,"Adam Satchell"
15303,"Mia Ackerman"
15364,"Gayle Goldin"
