Row,id10326,id14714,id14718,id15273,id8784,id8823,id8896
id10326,1,1,1,1,NaN,1,1
id14714,1,1,1,1,NaN,1,1
id14718,1,1,1,1,NaN,1,1
id15273,1,1,1,1,NaN,1,1
id8784,1,1,1,1,NaN,1,1
id8823,1,1,1,1,NaN,1,1
id8896,1,1,1,1,NaN,1,1
