sponsor_id,name
8629,Appropriations
8630,"Agriculture, State and Public Lands and Water Resources"
8631,"Corporations, Elections and Political Subdivisions"
8633,Judiciary
8634,"Travel, Recreation, Wildlife and Cultural Resources"
8635,"Ken Esquibel"
8638,"James Byrd"
8641,"Bill Landen"
8647,"Michael Madden"
8648,"Robert McKim"
8651,"Curt Meier"
8652,"Tony Ross"
8654,"Keith Gingery"
8657,"Stan Blake"
8658,"Kathy Davison"
8660,"Mary Throne"
8661,"John Schiffer"
8662,"Kermit Brown"
8663,"Charles Scott"
8667,"Floyd Esquibel"
8668,"Michael Von Flatern"
8669,"Labor, Health and Social Services"
8670,"Transportation, Highways and Military Affairs"
8671,"David Miller"
8672,"Richard Cannady"
8674,"Eli Bebout"
8675,"Cale Case"
8676,"Stan Cooper"
8678,Revenue
8679,"Dan Dockstader"
8680,"Tim Stubson"
8685,"John Hastert"
8686,"John Patton"
8687,"Bruce Burns"
8688,"Drew Perkins"
8691,"Patrick Goggles"
8692,Education
8693,"Minerals, Business and Economic Development"
8697,"Bernadine Craft"
8698,"Allen Jaggi"
8699,"Thomas Lubnau"
8701,"Henry Coe"
8702,"Select Water"
8705,"Sue Wallis"
8706,"Select Committee on School Facilities"
8707,"Elaine Harvey"
8709,"Glenn Moniz"
8711,"Dan Zwonitzer"
8712,"Rosie Berger"
8713,"Bob Nicholas"
8714,"Cathy Connolly"
8716,"Thomas Lockhart"
8717,"Management Audit"
8720,"Management Council"
8721,"Wayne Johnson"
8722,"Matt Teeters"
8723,"Gregg Blikre"
8724,"Ray Peterson"
8725,"Steve Harshman"
8726,"John Hines"
8727,"Mark Semlek"
8730,"Gerald Geis"
8732,"Select Natural Resource Funding"
10591,"Fred Emerich"
10592,"Donald Burkhart"
10593,"Gerald Gay"
10594,"Kendell Kroeker"
10595,"Leslie Nutting"
10597,"Leland Christensen"
10598,"Mike Greear"
10599,"Hans Hunt"
10600,"Larry Hicks"
10601,"J.D. Anderson"
10602,"Chris Rothfuss"
10603,"John Freeman"
10604,"Ogden Driskill"
10606,"Paul Barnard"
10607,"Norine Kasperik"
10608,"Carl Loucks"
10609,"Samuel Krone"
10611,"Philip Nicholas"
10612,"John Eklund"
10944,"Ruth Petroff"
11509,"Matthias Greene"
11985,"Rita Campbell"
12910,"David Zwonitzer"
13870,"Tom Reeder"
14036,"Dan Kirkbride"
14037,"Kathy Coleman"
14038,"Sue Wilson"
14197,"Mark Baker"
14198,"Marti Halverson"
14199,"Jerry Paxton"
14226,"Eric Barlow"
14227,"David Blevins"
14228,"Lee Filer"
14229,"Lynn Hutchings"
14230,"Lloyd Larsen"
14231,"Garry Piiparinen"
14232,"Albert Sommers"
14233,"Tom Walters"
14234,"Stephen Watt"
14235,"Nathan Winters"
14412,"David Northrup"
14414,"J.L. Anderson"
