Row,id11238,id11239,id11241,id11242,id11244,id11245,id11249,id11251,id11253,id11255,id11256,id11257,id11258,id11259,id12121,id12122,id12195,id13719,id13750,id13903,id15988,id15989,id15990,id15991,id15993,id15995,id15996,id15999,id16000,id16002,id16004,id16005,id16006,id16007,id16008,id16009,id16018,id16019,id16108,id16244,id2593,id2599,id2601,id2602,id2604,id2605,id2606,id2607,id2610,id2612,id2613,id2615,id2616,id2619,id2620,id2621,id2622,id2624,id2625,id2627,id2628,id2629,id2631,id2633,id2636,id2637,id2638,id2639,id2641,id2642,id2643,id2647,id2648,id2649,id2650,id2652,id2654,id2655,id2657,id2659,id2660,id2663,id2664,id2667,id2669,id2672,id2673,id2676,id2677,id2679,id2681,id2684,id2690,id2691,id2692,id2694,id2695,id2700,id2701,id2706,id2707,id2708,id2709,id2712,id2713,id2715,id2716,id2718,id2721,id2723,id2725,id2726,id2728,id2730,id2736
id2619,25,23,21,27,25,25,26,27,27,27,22,27,27,23,26,24,25,26,23,27,27,27,25,27,27,27,27,26,27,27,27,26,27,26,27,27,15,27,8,3,27,24,27,23,23,25,27,23,25,20,23,22,27,27,27,27,27,27,22,27,21,27,27,25,26,27,27,27,26,26,27,24,27,24,27,27,20,25,26,27,26,25,24,27,27,27,22,19,25,27,27,27,27,26,25,25,26,25,27,24,25,24,23,27,24,27,27,1,26,27,23,25,26,24,25
id2620,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2621,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2622,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2624,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2625,20,18,16,22,22,20,21,22,22,22,19,22,22,18,21,19,21,21,18,22,22,22,20,22,22,22,22,21,22,22,22,21,22,21,22,22,10,22,7,3,22,19,22,19,18,21,22,18,22,16,18,19,22,22,22,22,22,22,22,22,16,22,22,20,21,22,22,22,22,21,22,20,22,19,22,22,19,20,21,22,21,20,19,22,22,22,17,14,20,22,22,22,22,21,21,20,21,21,22,19,20,21,18,22,19,22,22,1,21,22,18,22,21,19,20
id2627,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2628,21,19,21,23,21,23,22,23,23,23,16,21,23,21,22,18,21,22,21,23,23,23,21,23,23,23,23,22,23,23,23,22,23,22,23,23,11,23,8,3,23,20,23,17,19,21,23,19,19,18,21,16,23,21,23,23,23,23,16,23,23,23,23,21,22,23,23,21,22,22,23,20,23,22,23,23,18,21,22,23,22,21,20,23,23,23,18,17,21,23,23,23,23,22,21,21,22,21,23,22,23,20,21,23,20,23,23,1,22,23,23,21,22,20,21
id2629,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2631,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2633,27,23,21,27,25,25,26,27,27,27,20,25,27,23,26,22,25,26,25,27,27,27,25,27,27,27,27,26,27,27,27,26,27,26,27,27,13,27,8,3,27,26,27,23,25,25,27,23,23,22,23,22,27,25,27,27,27,27,20,27,21,27,27,27,26,27,27,25,26,26,27,26,27,24,27,27,20,25,26,27,26,25,24,27,27,27,20,19,27,27,27,27,27,26,25,25,26,25,27,24,25,24,25,27,26,27,27,1,26,27,23,25,26,26,25
id2636,26,25,22,28,26,26,27,28,28,28,21,26,28,24,27,23,26,27,24,28,28,28,26,28,28,28,28,27,28,28,28,27,28,27,28,28,15,28,7,3,28,25,28,22,24,26,28,24,24,21,24,21,28,26,28,28,28,28,21,28,22,28,28,26,28,28,28,26,27,27,28,25,28,25,28,28,21,26,27,28,27,26,26,28,28,28,21,20,26,28,28,28,28,27,26,26,27,26,28,25,26,25,24,28,25,28,28,1,27,28,24,26,27,25,26
id2637,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2638,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2639,25,23,21,27,25,25,26,27,27,27,22,27,27,23,26,24,25,26,23,27,27,27,25,27,27,27,27,26,27,27,27,26,27,26,27,27,15,27,8,3,27,24,27,23,23,25,27,23,25,20,23,22,27,27,27,27,27,27,22,27,21,27,27,25,26,27,27,27,26,26,27,24,27,24,27,27,20,25,26,27,26,25,24,27,27,27,22,19,25,27,27,27,27,26,25,25,26,25,27,24,25,24,23,27,24,27,27,1,26,27,23,25,26,24,25
id2641,26,24,22,28,26,26,27,28,28,28,21,26,28,24,27,23,27,27,24,28,28,28,26,28,28,28,28,27,28,28,28,27,28,27,28,28,14,28,7,3,28,25,28,23,24,27,28,24,24,22,24,21,28,26,28,28,28,28,22,28,22,28,28,26,27,28,28,26,28,27,28,26,28,25,28,28,21,26,27,28,27,26,25,28,28,28,21,20,26,28,28,28,28,27,27,26,27,27,28,25,26,25,24,28,25,28,28,1,27,28,24,26,27,25,26
id2642,26,24,23,28,26,26,27,28,28,28,21,26,28,24,27,23,26,27,24,28,28,28,26,28,28,28,28,27,28,28,28,27,28,27,28,28,15,28,7,3,28,26,28,22,24,26,28,24,24,22,24,21,28,26,28,28,28,28,21,28,22,28,28,26,27,28,28,26,27,28,28,25,28,25,28,28,21,26,27,28,28,26,25,28,28,28,22,20,26,28,28,28,28,27,26,26,27,26,28,25,26,25,24,28,25,28,28,1,27,28,24,26,27,25,27
id2643,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2647,26,22,20,26,24,24,25,26,26,26,19,24,26,22,25,21,25,25,24,26,26,26,24,26,26,26,26,25,26,26,26,25,26,25,26,26,12,26,7,3,26,25,26,23,24,25,26,22,22,22,22,21,26,24,26,26,26,26,20,26,20,26,26,26,25,26,26,24,26,25,26,26,26,23,26,26,19,24,25,26,25,24,23,26,26,26,19,18,26,26,26,26,26,25,25,24,25,25,26,23,24,23,24,26,25,26,26,1,25,26,22,24,25,25,24
id2648,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2649,24,22,22,26,24,26,26,26,26,26,20,24,26,22,25,21,25,25,22,26,26,26,24,26,26,26,26,25,26,26,26,25,26,26,26,26,13,26,7,3,26,23,26,20,22,24,26,22,22,19,23,19,26,24,26,26,26,26,19,26,22,26,26,24,25,26,26,24,25,25,26,23,26,26,26,26,20,24,25,26,25,24,23,26,26,26,19,19,24,26,26,26,26,25,24,24,26,24,26,24,24,23,22,26,23,26,26,NaN,26,26,24,24,25,23,25
id2650,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2652,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2654,20,18,18,22,22,20,22,22,22,22,18,20,22,20,21,17,21,21,20,22,22,22,20,22,22,22,22,21,22,22,22,21,22,22,22,22,11,22,7,3,22,19,22,16,18,20,22,18,20,17,21,17,22,20,22,22,22,22,19,22,18,22,22,20,21,22,22,20,21,21,22,19,22,20,22,22,22,20,21,22,21,20,19,22,22,22,17,15,20,22,22,22,22,21,20,20,22,20,22,22,20,21,20,22,19,22,22,NaN,22,22,18,22,21,19,21
id2655,25,23,21,27,25,25,26,27,27,27,22,25,27,25,26,22,25,26,23,27,27,27,25,27,27,27,27,26,27,27,27,26,27,26,27,27,13,27,8,3,27,24,27,21,23,25,27,23,23,20,23,20,27,25,27,27,27,27,20,27,21,27,27,25,26,27,27,25,26,26,27,24,27,24,27,27,20,27,26,27,26,27,24,27,27,27,20,19,25,27,27,27,27,26,25,25,26,25,27,24,25,24,23,27,24,27,27,1,26,27,23,25,26,24,25
id2657,26,25,22,28,26,26,27,28,28,28,21,26,28,24,27,23,26,27,24,28,28,28,26,28,28,28,28,27,28,28,28,27,28,27,28,28,15,28,8,3,28,25,28,22,24,26,28,24,24,22,24,22,28,26,28,28,28,28,21,28,22,28,28,26,27,28,28,26,27,27,28,25,28,25,28,28,21,26,28,28,27,26,26,28,28,28,21,20,26,28,28,28,28,27,26,26,27,26,28,25,26,25,24,28,26,28,28,1,27,28,24,26,27,25,26
id2659,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2660,26,24,23,28,26,26,27,28,28,28,21,26,28,24,27,23,26,27,24,28,28,28,26,28,28,28,28,27,28,28,28,27,28,27,28,28,15,28,7,3,28,26,28,22,24,26,28,24,24,22,24,21,28,26,28,28,28,28,21,28,22,28,28,26,27,28,28,26,27,28,28,25,28,25,28,28,21,26,27,28,28,26,25,28,28,28,22,20,26,28,28,28,28,27,26,26,27,26,28,25,26,25,24,28,25,28,28,1,27,28,24,26,27,25,27
id2663,25,23,21,27,25,25,26,27,27,27,22,25,27,25,26,22,25,26,23,27,27,27,25,27,27,27,27,26,27,27,27,26,27,26,27,27,13,27,8,3,27,24,27,21,23,25,27,23,23,20,23,20,27,25,27,27,27,27,20,27,21,27,27,25,26,27,27,25,26,26,27,24,27,24,27,27,20,27,26,27,26,27,24,27,27,27,20,19,25,27,27,27,27,26,25,25,26,25,27,24,25,24,23,27,24,27,27,1,26,27,23,25,26,24,25
id2664,24,24,20,26,24,24,25,26,26,26,19,24,26,22,25,21,24,25,22,26,26,26,24,26,26,26,26,26,26,26,26,25,26,25,26,26,14,26,6,2,26,23,26,21,22,25,26,22,22,20,23,20,26,24,26,26,26,26,19,26,20,26,26,24,26,26,26,24,25,25,26,23,26,23,26,26,19,24,26,26,25,24,26,26,26,26,19,18,24,26,26,26,26,26,25,24,25,25,26,23,24,24,22,26,24,26,26,1,25,26,22,24,26,24,24
id2667,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2669,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2672,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2673,20,18,19,22,20,20,21,22,22,22,17,22,22,20,21,19,20,21,20,22,22,22,20,22,22,22,22,21,22,22,22,21,22,21,22,22,15,22,7,3,22,20,22,18,20,20,22,20,20,18,20,17,22,22,22,22,22,22,17,22,18,22,22,20,21,22,22,22,21,22,22,19,22,19,22,22,17,20,21,22,22,20,19,22,22,22,22,16,20,22,22,22,22,21,20,22,21,20,22,21,20,19,20,22,19,22,22,1,21,22,18,20,21,19,21
id2676,19,19,15,21,19,19,21,21,21,21,15,19,21,17,20,18,20,20,17,21,21,21,21,21,21,21,21,20,21,21,21,21,21,21,21,21,12,21,6,2,21,18,21,15,19,19,21,21,17,14,18,14,21,19,21,21,21,21,14,21,17,21,21,19,20,21,21,19,20,20,21,18,21,19,21,21,15,19,20,21,20,19,18,21,21,21,16,21,19,21,21,21,21,20,19,21,21,19,21,19,21,18,17,21,18,21,21,NaN,21,21,19,19,20,18,20
id2677,27,23,21,27,25,25,26,27,27,27,20,25,27,23,26,22,25,26,25,27,27,27,25,27,27,27,27,26,27,27,27,26,27,26,27,27,13,27,8,3,27,26,27,23,25,25,27,23,23,22,23,22,27,25,27,27,27,27,20,27,21,27,27,27,26,27,27,25,26,26,27,26,27,24,27,27,20,25,26,27,26,25,24,27,27,27,20,19,27,27,27,27,27,26,25,25,26,25,27,24,25,24,25,27,26,27,27,1,26,27,23,25,26,26,25
id2679,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2681,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2684,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2690,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2691,26,24,22,28,26,26,27,28,28,28,21,26,28,24,27,23,26,27,24,28,28,28,26,28,28,28,28,28,28,28,28,27,28,27,28,28,14,28,7,2,28,25,28,23,24,27,28,24,24,21,25,21,28,26,28,28,28,28,21,28,22,28,28,26,27,28,28,26,27,27,28,25,28,25,28,28,21,26,27,28,27,26,26,28,28,28,21,20,26,28,28,28,28,28,27,26,27,27,28,25,26,26,24,28,25,28,28,1,27,28,24,26,28,26,26
id2692,25,23,21,27,25,25,26,27,27,27,20,25,27,23,26,22,26,26,23,27,27,27,25,27,27,27,27,27,27,27,27,26,27,26,27,27,13,27,6,2,27,24,27,23,23,27,27,23,23,21,24,20,27,25,27,27,27,27,21,27,21,27,27,25,26,27,27,25,27,26,27,25,27,24,27,27,20,25,26,27,26,25,25,27,27,27,20,19,25,27,27,27,27,27,27,25,26,27,27,24,25,25,23,27,24,27,27,1,26,27,23,25,27,25,25
id2694,25,23,21,27,25,25,26,27,27,27,20,25,27,23,26,22,25,26,23,27,27,27,25,27,27,27,27,26,27,27,27,26,27,26,27,27,15,27,8,3,27,24,27,21,25,25,27,25,23,20,23,20,27,25,27,27,27,27,20,27,21,27,27,25,26,27,27,25,26,26,27,24,27,24,27,27,20,25,26,27,26,25,24,27,27,27,22,21,25,27,27,27,27,26,25,27,26,25,27,24,25,24,23,27,24,27,27,1,26,27,23,25,26,24,25
id2695,26,24,22,28,26,26,28,28,28,28,22,26,28,24,27,23,27,27,24,28,28,28,26,28,28,28,28,27,28,28,28,27,28,28,28,28,15,28,7,3,28,25,28,22,24,26,28,24,24,21,25,21,28,26,28,28,28,28,21,28,22,28,28,26,27,28,28,26,27,27,28,25,28,26,28,28,22,26,27,28,27,26,25,28,28,28,21,21,26,28,28,28,28,27,26,26,28,26,28,26,26,25,24,28,25,28,28,NaN,28,28,24,26,27,25,27
id2700,25,23,21,27,25,25,26,27,27,27,20,25,27,23,26,22,26,26,23,27,27,27,25,27,27,27,27,27,27,27,27,26,27,26,27,27,13,27,6,2,27,24,27,23,23,27,27,23,23,21,24,20,27,25,27,27,27,27,21,27,21,27,27,25,26,27,27,25,27,26,27,25,27,24,27,27,20,25,26,27,26,25,25,27,27,27,20,19,25,27,27,27,27,27,27,25,26,27,27,24,25,25,23,27,24,27,27,1,26,27,23,25,27,25,25
id2701,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2706,24,22,22,26,24,24,26,26,26,26,20,24,26,24,25,21,25,25,24,26,26,26,24,26,26,26,26,25,26,26,26,25,26,26,26,26,15,26,7,3,26,23,26,20,22,24,26,22,22,21,25,19,26,24,26,26,26,26,19,26,22,26,26,24,25,26,26,24,25,25,26,23,26,24,26,26,22,24,25,26,25,24,23,26,26,26,21,19,24,26,26,26,26,25,24,24,26,24,26,26,24,23,24,26,23,26,26,NaN,26,26,22,24,25,23,25
id2707,25,23,21,27,25,25,26,27,27,27,20,25,27,23,26,22,25,26,23,27,27,27,25,27,27,27,27,26,27,27,27,26,27,26,27,27,13,27,8,3,27,24,27,21,23,25,27,23,23,20,23,20,27,25,27,27,27,27,20,27,23,27,27,25,26,27,27,25,26,26,27,24,27,24,27,27,20,25,26,27,26,25,24,27,27,27,20,21,25,27,27,27,27,26,25,25,26,25,27,24,27,24,23,27,24,27,27,1,26,27,25,25,26,24,25
id2708,24,22,20,26,26,24,25,26,26,26,21,24,26,22,25,21,24,25,22,26,26,26,24,26,26,26,26,26,26,26,26,25,26,25,26,26,12,26,7,2,26,23,26,21,22,25,26,22,24,19,23,21,26,24,26,26,26,26,21,26,20,26,26,24,25,26,26,24,25,25,26,23,26,23,26,26,21,24,25,26,25,24,24,26,26,26,19,18,24,26,26,26,26,26,25,24,25,25,26,23,24,26,22,26,23,26,26,1,25,26,22,26,26,24,24
id2709,25,21,21,25,23,23,24,25,25,25,18,23,25,23,24,20,23,24,25,25,25,25,23,25,25,25,25,24,25,25,25,24,25,24,25,25,13,25,8,3,25,24,25,21,23,23,25,21,21,22,23,20,25,23,25,25,25,25,18,25,21,25,25,25,24,25,25,23,24,24,25,24,25,22,25,25,20,23,24,25,24,23,22,25,25,25,20,17,25,25,25,25,25,24,23,23,24,23,25,24,23,22,25,25,24,25,25,1,24,25,21,23,24,24,23
id2712,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2713,26,23,20,26,24,24,25,26,26,26,19,24,26,22,25,21,24,25,24,26,26,26,24,26,26,26,26,25,26,26,26,25,26,25,26,26,13,26,8,3,26,25,26,22,24,24,26,22,22,22,22,22,26,24,26,26,26,26,19,26,20,26,26,26,25,26,26,24,25,25,26,25,26,23,26,26,19,24,26,26,25,24,24,26,26,26,19,18,26,26,26,26,26,25,24,24,25,24,26,23,24,23,24,26,26,26,26,1,25,26,22,24,25,25,24
id2715,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2716,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id2718,1,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,NaN,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,NaN
id2721,26,24,22,28,26,26,28,28,28,28,22,26,28,24,27,23,27,27,24,28,28,28,26,28,28,28,28,27,28,28,28,27,28,28,28,28,15,28,7,3,28,25,28,22,24,26,28,24,24,21,25,21,28,26,28,28,28,28,21,28,22,28,28,26,27,28,28,26,27,27,28,25,28,26,28,28,22,26,27,28,27,26,25,28,28,28,21,21,26,28,28,28,28,27,26,26,28,26,28,26,26,25,24,28,25,28,28,NaN,28,28,24,26,27,25,27
id2723,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
