Row,score_variable_k,score_fixed_k,count,difference,name,sponsor_id,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,year
id15770,1534.78926324285,1518.70529446236,780000,14.0898467483457,Herman Baertschiger,15770,Herman,,Baertschiger,Jr.,,1,R,2,Sen,SD-002,2016
id14781,1500,1500,420000,0,Tim Knopp,14781,Tim,,Knopp,,,1,R,2,Sen,SD-027,2016
id14780,1534.76481543957,1518.70312345424,780000,12.3600714390986,Bill Hansell,14780,Bill,,Hansell,,,1,R,2,Sen,SD-029,2016
id13858,1534.76418513785,1518.70100573927,780000,21.2675623964781,Elizabeth Steiner Hayward,13858,Elizabeth,,Steiner Hayward,,,0,D,2,Sen,SD-017,2016
id12166,1534.82074896365,1518.72383581311,780000,14.7528959925683,Alan Olsen,12166,Alan,R.,Olsen,,,1,R,2,Sen,SD-020,2016
id12024,1534.80677462958,1518.71832768817,780000,15.1154204468169,Chuck Thomsen,12024,Chuck,,Thomsen,,,1,R,2,Sen,SD-026,2016
id10753,1534.73759241615,1518.68894349142,780000,10.9519202652816,Leslee Beyer,10753,Leslee,,Beyer,,Lee,0,D,2,Sen,SD-006,2016
id6286,1534.80324460594,1518.71944392339,780000,17.9009558164928,Douglas Whitsett,6286,Douglas,K.,Whitsett,,,1,R,2,Sen,SD-028,2016
id6283,1534.78073509396,1518.71015325945,780000,16.2254415731136,Floyd Prozanski,6283,Floyd,F.,Prozanski,,,0,D,2,Sen,SD-004,2016
id6282,1534.85282688747,1518.72971053054,780000,15.4640661197882,Jeff Kruse,6282,Jeff,,Kruse,,,1,R,2,Sen,SD-001,2016
id6280,1534.8084739644,1518.71652291148,780000,17.6514349842523,Ginny Burdick,6280,Ginny,,Burdick,,,0,D,2,Sen,SD-018,2016
id6279,1500,1500,420000,0,Brian Boquist,6279,Brian,J.,Boquist,,,1,R,2,Sen,SD-012,2016
id6275,1534.78152892688,1518.70548081351,780000,13.4721442771129,Fred Girod,6275,Fred,,Girod,,,1,R,2,Sen,SD-009,2016
id6274,1534.74753521338,1518.70052819348,780000,18.6687567287108,Ted Ferrioli,6274,Ted,,Ferrioli,,,1,R,2,Sen,SD-030,2016
id6273,1500,1500,420000,0,Jackie Winters,6273,Jackie,,Winters,,,1,R,2,Sen,SD-010,2016
id6272,1534.81939536057,1518.71947970069,780000,20.1484146471137,Laurie Monnes Anderson,6272,Laurie,Monnes,Monnes Anderson,,,0,D,2,Sen,SD-025,2016
id6271,1534.80395850904,1518.71076245196,780000,18.1543429262729,Peter Courtney,6271,Peter,,Courtney,,,0,D,2,Sen,SD-011,2016
id6268,1534.78936183385,1518.70991950548,780000,18.8112297798441,Mark Hass,6268,Mark,,Hass,,,0,D,2,Sen,SD-014,2016
id6265,1534.77757363298,1518.71044096226,780000,17.1594929592111,Rod Monroe,6265,Rod,,Monroe,,,0,D,2,Sen,SD-024,2016
id6264,1244.85836404612,1362.78247775821,780000,-117.115304021768,Richard Devlin,6264,Richard,,Devlin,,,0,D,2,Sen,SD-019,2016
id6258,1500,1500,420000,0,William Shields,6258,William,,Shields,,Chip,0,D,2,Sen,SD-022,2016
id6257,1534.76155152122,1518.70534747262,780000,11.8591565207785,Charles Riley,6257,Charles,D.,Riley,,Chuck,0,D,2,Sen,SD-015,2016
id6256,1534.78954355451,1518.70947614855,780000,19.1953144845634,Chris Edwards,6256,Chris,,Edwards,,,0,D,2,Sen,SD-007,2016
id6255,1244.8512757961,1362.78270987998,780000,-120.193538883049,Diane Rosenbaum,6255,Diane,,Rosenbaum,,,0,D,2,Sen,SD-021,2016
id6245,1534.73861158532,1518.69492953679,780000,20.7043193708512,Alan Bates,6245,Alan,C.,Bates,,,0,D,2,Sen,SD-003,2016
id6228,1534.81040090173,1518.7176578842,780000,11.3907590879733,Michael Dembrow,6228,Michael,E.,Dembrow,,,0,D,2,Sen,SD-023,2016
id6221,1534.77746283238,1518.70341520945,780000,12.8966462809819,Lona Thatcher,6221,Lona,Kim,Thatcher,,,1,R,2,Sen,SD-013,2016
id6208,1534.85546394988,1518.73140929538,780000,17.0379821357847,Arnie Roblan,6208,Arnie,,Roblan,,,0,D,2,Sen,SD-005,2016
id6204,1244.90931195455,1362.79960391401,780000,-117.969332076617,Sara Gelser,6204,Sara,,Gelser,,,0,D,2,Sen,SD-008,2016
