sponsor_id,name
1117,"Royce Adams"
1118,"Rocky Adkins"
1119,"John Arnold"
1121,"Linda Belcher"
1122,"Johnny Bell"
1123,"Kevin Bratcher"
1125,"Thomas Burch"
1126,"Dwight Butler"
1127,"John Carney"
1128,"Mike Cherry"
1129,"Larry Clark"
1130,"Hubert Collins"
1131,"Leslie Combs"
1132,"James Comer"
1133,"Tim Couch"
1134,"Will Coursey"
1135,"Jesse Crenshaw"
1136,"Ron Crimm"
1137,"Robert Damron"
1138,"Jim DeCesare"
1139,"Mitchel Denham"
1140,"Bob DeWeese"
1141,"Myron Dossett"
1142,"Theodore Edmonds"
1143,"C.B. Embry"
1144,"William Farmer"
1146,"Joseph Fischer"
1147,"Kelly Flood"
1148,"David Floyd"
1149,"Danny Ford"
1150,"James Glenn"
1151,"Jim Gooch"
1152,"Derrick Graham"
1153,"Jeff Greer"
1154,"Keith Hall"
1155,"Mike Harmon"
1156,"Richard Henderson"
1157,"Melvin Henley"
1159,"Jeff Hoover"
1160,"Dennis Horlander"
1161,"David Housman"
1162,"Joni Jenkins"
1163,"Dennis Keene"
1164,"Thomas Kerr"
1165,"Martha King"
1166,"Adam Koenig"
1167,"Jimmie Lee"
1168,"Stan Lee"
1169,"Mary Marzian"
1170,"Thomas McKee"
1171,"Reginald Meeks"
1172,"Charles Miller"
1174,"Brad Montell"
1175,"Tim Moore"
1176,"Lonnie Napier"
1177,"Rick Nelson"
1178,"Fred Nesler"
1179,"David Osborne"
1180,"Sannie Overly"
1181,"Darryl Owens"
1182,"Ruth Palumbo"
1184,"Tanya Pullin"
1185,"Marie Rader"
1186,"Rick Rand"
1187,"Jody Richards"
1188,"Steven Riggs"
1189,"Tom Riner"
1190,"Carl Rollins"
1191,"Steven Rudy"
1192,"Sal Santoro"
1194,"Arnold Simpson"
1196,"Kevin Sinnette"
1198,"John Stacy"
1199,"Fitz Steele"
1201,"Jim Stewart"
1202,"Wilson Stone"
1203,"Gregory Stumbo"
1204,"Thomas Thompson"
1205,"John Tilley"
1206,"Tommy Turner"
1208,"David Watkins"
1209,"Jim Wayne"
1210,"Alecia Webb-Edgington"
1212,"Susan Westrom"
1213,"Addia Wuchner"
1214,"Brent Yonts"
1215,"Jill York"
1216,"Walter Blevins"
1218,"Tom Buford"
1219,"Julian Carroll"
1220,"Perry Clark"
1221,"Julie Denton"
1222,"Carroll Gibson"
1223,"David Givens"
1224,"Denise Angel"
1225,"Ernie Harris"
1226,"Jimmy Higdon"
1227,"Thomas Jensen"
1228,"Ray Jones"
1229,"Alice Kerr"
1230,"Robert Leeper"
1231,"Vernie McGaha"
1232,"Gerald Neal"
1233,"R.J. Palmer"
1234,"Joey Pendleton"
1236,"Jerry Rhoads"
1237,"Dorsey Ridley"
1238,"John Schickel"
1239,"Dan Seum"
1240,"Tim Shaughnessy"
1241,"Brandon Smith"
1242,"Kathy Stein"
1243,"Katie Stine"
1244,"Robert Stivers"
1246,"Damon Thayer"
1248,"Johnny Turner"
1249,"Robin Webb"
1250,"Jack Westwood"
1251,"David Williams"
1252,"Kenneth Winters"
2373,"Terry Mills"
11081,"Ben Waide"
11082,"Dewayne Bunch"
11083,"Julie Adams"
11084,"John Short"
11085,"Kim King"
11086,"Michael Meredith"
11087,"Mike Nemes"
11088,"Ryan Quarles"
11089,"Rita Smart"
11090,"Sara Gregory"
11091,"Wade Hurt"
11092,"Dennis Parrett"
11093,"Joe Bowen"
11094,"Jared Carpenter"
11095,"Mike Wilson"
11096,"Paul Hornback"
12028,"Donna Mayfield"
