sponsor_id,name
514,"John Adams"
516,"Kevin Bacon"
517,"William Batchelder"
519,"Louis Blessing"
522,"Barbara Boyd"
525,"Edna Brown"
527,"Armond Budish"
531,"Bill Coley"
548,"Mike Foley"
549,"Randall Gardner"
551,"Ronald Gerberry"
556,"Robert Hagan"
558,"Tracy Heard"
560,"Cliff Hite"
561,"Jay Hottinger"
562,"Matt Huffman"
563,"Jim Hughes"
565,"Shannon Jones"
567,"Thomas Letson"
569,"Matt Lundy"
570,"Dale Mallory"
573,"Ross McGregor"
578,"Scott Oelslager"
581,"Thomas Patton"
583,"Chris Redfern"
589,"Barbara Sears"
591,"Michael Skindell"
592,"Stephen Slesnick"
593,"Gerald Stebelton"
596,"Fred Strahorn"
597,"Vernon Sykes"
598,"Matthew Szollosi"
599,"Joseph Uecker"
601,"Lynn Wachtmann"
605,"Christopher Widener"
607,"Sandra Williams"
612,"Ron Amstutz"
616,"Capri Cafaro"
620,"Keith Faber"
621,"Teresa Fedor"
625,"Eric Kearney"
633,"Thomas Sawyer"
634,"Tim Schaffer"
636,"Kirk Schuring"
637,"William Seitz"
638,"Shirley Smith"
640,"Nina Turner"
842,"Roland Winburn"
843,"Connie Pillich"
847,"Joe Schiavoni"
849,"Nan Baker"
850,"Troy Balderson"
851,"Peter Beck"
853,"Terry Blair"
854,"Terry Boose"
855,"Dave Burke"
856,"John Carney"
857,"Timothy Derickson"
859,"Cheryl Grossman"
860,"Robert Hackett"
861,"Dave Hall"
862,"Kris Jordan"
863,"Peggy Lehner"
864,"Ron Maag"
866,"Jeffrey McClain"
869,"Debbie Phillips"
870,"Margaret Ruhl"
872,"Peter Stautberg"
883,"Richard Adams"
2378,"Alicia Reece"
10994,"Andrew Brenner"
10995,"Mike Dovilla"
10996,"Mike Duffey"
10997,"Anne Gonzales"
10998,"Bill Hayes"
10999,"Michael Henne"
11003,"Kristina Roegner"
11005,"Michael Stinziano"
11006,"Andy Thompson"
11296,"Bill Beagle"
11540,"Charleta Tavares"
11544,"Michael Ashford"
11547,"Terry Johnson"
11548,"Sean O'Brien"
11549,"Bill Patmon"
11550,"Cliff Rosenberger"
11552,"Ron Young"
11651,"Rex Damschroder"
11942,"Marlene Anielski"
11943,"Nickie Antonio"
11944,"John Barnes"
11945,"Jim Buchy"
11946,"James Butler"
11947,"Kathleen Clyde"
11948,"Lou Gentile"
11949,"Al Landis"
11950,"Zack Milkovich"
11951,"Dan Ramos"
12034,"Frank LaRose"
12036,"Gayle Manning"
12066,"Larry Obhof"
12119,"Robert Sprague"
12655,"Christina Hagan"
13161,"Margaret Conditt"
13186,"Dorothy Pelanda"
13312,"Brian Hill"
13313,"Louis Terhar"
13503,"John Eklund"
13527,"Jack Cera"
13528,"Anthony DeVitis"
13835,"Nicholas Celebrezze"
13938,"Bob Peterson"
13947,"Matthew Lynch"
13948,"Ryan Smith"
13950,"Marilyn Slaby"
13952,"Gary Scherer"
13964,"Kevin Boyce"
14650,"Nick Barborak"
14651,"John Becker"
14652,"Heather Bishoff"
14654,"Tony Burkley"
14655,"Michael Curtin"
14656,"Doug Green"
14657,"Ron Hood"
14658,"Stephanie Kunze"
14659,"John Patterson"
14660,"Rick Perales"
14661,"Wes Retherford"
14662,"John Rogers"
14663,"Mark Romanchuk"
16042,"Michael Sheehy"
16276,"Denise Driehaus"
16311,"Niraj Antani"
