Row,id10753,id13858,id6204,id6208,id6228,id6245,id6255,id6256,id6257,id6258,id6264,id6265,id6268,id6271,id6272,id6280,id6283
id10753,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1
id13858,1,1,1,1,0.666666666666667,NaN,1,0,NaN,1,1,1,NaN,1,1,1,0.666666666666667
id6204,1,1,1,1,0.666666666666667,NaN,1,0,1,1,1,1,1,1,1,1,0.666666666666667
id6208,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id6228,1,1,1,1,1,NaN,1,NaN,NaN,1,1,1,1,1,1,1,1
id6245,NaN,1,1,1,NaN,NaN,1,NaN,NaN,1,1,1,NaN,NaN,1,1,1
id6255,1,1,1,1,1,NaN,1,NaN,NaN,1,1,1,NaN,1,1,1,1
id6256,1,1,NaN,1,0,NaN,1,0.5,1,1,1,1,1,1,1,1,0
id6257,1,1,NaN,1,NaN,NaN,1,NaN,NaN,1,1,1,NaN,1,NaN,1,NaN
id6258,1,1,1,1,1,NaN,1,NaN,1,1,1,1,1,NaN,1,1,NaN
id6264,1,1,1,1,1,1,1,NaN,NaN,1,1,1,NaN,NaN,1,1,1
id6265,1,1,1,1,1,NaN,1,NaN,1,1,1,1,NaN,1,1,1,NaN
id6268,1,1,NaN,1,1,NaN,1,NaN,NaN,1,1,1,1,NaN,1,1,1
id6271,1,1,1,1,1,1,1,NaN,NaN,1,1,1,1,1,1,1,NaN
id6272,1,1,1,1,0.666666666666667,1,1,0,NaN,1,1,1,1,1,1,1,0
id6280,1,1,1,1,1,NaN,1,NaN,NaN,1,1,1,NaN,1,1,1,1
id6283,1,1,1,1,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,1,1,1
