sponsor_id,name
8467,"Tom Grady"
8468,"John Hambrick"
8469,"Joe Hardy"
8470,"James Settelmeyer"
8471,"Melissa Woodbury"
8472,"Lynn Stewart"
8474,"Mark Manendo"
8476,Education
8477,"Health and Human Services"
8478,"Ways and Means"
8480,"Commerce and Labor"
8482,Transportation
8483,Taxation
8484,Judiciary
8485,"Natural Resources, Agriculture, and Mining"
8486,"Government Affairs"
8488,"Sheila Leslie"
8490,"John Oceguera"
8491,"Joseph Hogan"
8493,"Richard McArthur"
8494,"Marcus Conklin"
8495,"Bernie Anderson"
8496,"Marilyn Loop"
8497,"William Horne"
8498,"Marilyn Kirkpatrick"
8500,"James Ohrenschall"
8501,"Debbie Smith"
8502,"Moises Denis"
8503,"April Mastroluca"
8506,"Maggie Carlton"
8508,"Ruben Kihuen"
8509,"Barbara Buckley"
8510,"Richard Segerblom"
8511,"Peggy Pierce"
8512,"Don Gustavson"
8513,"Ellen Spiegel"
8514,"Paul Aizley"
8515,"Kelvin Atkinson"
8516,"David Bobzien"
8518,"Pete Goicoechea"
8519,"Harvey Munford"
8526,"Edwin Goedhart"
8527,"Morse Arberry"
8530,"Shirley Breeden"
8539,Finance
8540,"Steven Horsford"
8542,"Michael Schneider"
8543,"Legislative Operations and Elections"
8545,Judiciary
8546,"John Lee"
8547,"Valerie Wiener"
8554,"Government Affairs"
8555,"Natural Resources"
8557,"Barbara Cegavske"
8561,"Mike McGinness"
8563,"David Parks"
8564,"Dean Rhoads"
8566,"Allison Copening"
8570,"Elliot Anderson"
12091,"Mark Sherwood"
12092,"Pete Livermore"
12093,"Ben Kieckhefer"
12094,"Richard Carrillo"
12095,"Randy Kirner"
12097,"Lucy Flores"
12182,"Health and Human Services"
12183,Education
12184,"Legislative Operations and Elections"
12185,Transportation
12196,"Commerce, Labor and Energy"
12199,"John Ellison"
12200,"Ira Hansen"
12202,"Jason Frierson"
12203,"Richard Daly"
12204,"Olivia Diaz"
12205,"Patrick Hickey"
12209,"Teresa Benitez-Thompson"
12210,"Steven Brooks"
12211,"Irene Adams"
12212,"Scott Hammond"
12213,"Dina Neal"
12249,"Greg Brower"
12250,"Elizabeth Halseth"
12251,"Michael Roberson"
12354,Revenue
12358,"Kelly Kite"
